상품코드,상품명,매입단가,매입단가 계산,매출단가,매출단가 계산,실매출단가,VAT
P00279,육개장사발면,426,426,0,562.32,560,Y
P00280,이온에이드캔,344,344,0,454.08,450,Y
P00281,인디고,1844,1844,0,2434.08,2430,Y
P00282,인디언밥,0,364,500,500,500,Y
P00283,일회용밴드,245,245,0,323.4,320,Y
P00284,일회용휴지,0,364,500,500,500,Y
P00285,입안가득초코칩,0,1091,1500,1500,1500,Y
P00286,자기야홍삼을왜마셔?,327,327,0,431.64,430,Y
P00287,자유시간,327,327,0,431.64,430,Y
P00288,자일리톨1000껌,0,727,1000,1000,1000,Y
P00289,자일리톨3+,0,1091,1500,1500,1500,Y
P00290,자일리톨휘바,0,3636,5000,5000,5000,Y
P00291,제이(j),1844,1844,0,2434.08,2430,Y
P00292,제주감귤180,0,727,1000,1000,1000,Y
P00293,조미쥐지포,0,1818,2500,2500,2500,Y
P00294,조청유과(대),1465,1465,0,1933.8,1930,Y
P00295,좋은느낌 울날중형18P,0,4000,5500,5500,5500,Y
P00296,좋은느낌울날소형18P,0,4000,5500,5500,5500,Y
P00297,쥬시후레쉬묶음,737,737,1500,1500,1500,Y
P00298,즉석  P700,9016,9016,0,11901.12,11900,Y
P00299,즉석 인스탁스,7377,7377,13000,13000,13000,Y
P00300,짱구는 못말려(딸기),0,873,1200,1200,1200,Y
P00301,참ing(버터레몬),983,983,0,1297.56,1290,Y
P00302,참ing(크리미버터),983,983,0,1297.56,1290,Y
P00303,참쌀선과,0,1309,1800,1800,1800,Y
P00304,참오징어,0,2182,3000,3000,3000,Y
P00305,참이슬(포켓용)PET 200ML,0,1091,1500,1500,1500,Y
P00306,천하장사(소),0,364,500,500,500,Y
P00307,초록매실 500ML,655,655,0,864.6,860,Y
P00308,초코송이,0,364,500,500,500,Y
P00309,초코틴틴,655,655,1000,1000,1000,Y
P00310,초코픽,0,582,800,800,800,Y
P00311,촉촉한초코칩,0,1091,1500,1500,1500,Y
P00312,쵸코하임,1311,1311,2000,2000,2000,Y
P00313,칩스인컵,0,1091,1500,1500,1500,Y
P00314,칩포테토짭짤(대),586,586,0,773.52,770,Y
P00315,칫솔,409,409,0,539.88,530,Y
P00316,카스타드,1183,1183,2000,2000,2000,Y
P00317,카카오76%,622,622,1000,1000,1000,Y
P00318,카페라떼캔(모카),0,727,1000,1000,1000,Y
P00319,카페모카컵,0,1091,1500,1500,1500,Y
P00320,카페카프치노컵,0,1091,1500,1500,1500,Y
P00321,카푸치노,0,1091,1500,1500,1500,Y
P00322,카푸치노병,0,1818,2500,2500,2500,Y
P00323,카푸치노컵,614,614,0,810.48,810,Y
P00324,카프리선(오렌지),286,286,0,377.52,370,Y
P00325,칸타타(원두커피),819,819,1800,1800,1800,Y
P00326,캡슐엑스퍼트사과,0,727,1000,1000,1000,Y
P00327,캡슐엑스퍼트포도,0,727,1000,1000,1000,Y
P00328,커피나,0,1455,2000,2000,2000,Y
P00329,컵라면 대,0,1091,1500,1500,1500,Y
P00330,컵라면 소,819,819,0,1081.08,1080,Y
P00331,코닥 알카 AA,409,409,0,539.88,530,Y
P00332,코닥100/36,0,2909,4000,4000,4000,Y
P00333,코닥200/24(구),0,2182,3000,3000,3000,Y
P00334,코닥K123LA-1(신),2459,2459,0,3245.88,3240,Y
P00335,코닥KCR2-1,0,5091,7000,7000,7000,Y
P00336,코닥KL2CR5-1,0,8727,12000,12000,12000,Y
P00337,코닥일회용(유),0,8727,12000,12000,12000,Y
P00338,코사우유500,0,727,1000,1000,1000,Y
P00339,코카콜라 1.5PET,0,1455,2000,2000,2000,Y
P00340,코카콜라500ml,0,1091,1500,1500,1500,Y
P00341,코코팜 포도,368,368,0,485.76,480,Y
P00342,콜드 포도240,0,873,1200,1200,1200,Y
P00343,쿠우-포도,0,1091,1500,1500,1500,Y
P00344,큰집식혜,272,272,0,359.04,350,Y
P00345,클라우드,2213,2213,0,2921.16,2920,Y
P00346,클라우드1mg,0,2182,3000,3000,3000,Y
P00347,키세스,0,2182,3000,3000,3000,Y
P00348,키세스아몬드,0,2182,3000,3000,3000,Y
P00349,키세스쿠키앤,1758,1758,0,2320.56,2320,Y
P00350,킨사이다,450,450,0,594,590,Y
P00351,킨사이다제로,368,368,800,800,800,Y
P00352,타임라이트,0,1673,2300,2300,2300,Y
P00353,텐더롤,0,1309,1800,1800,1800,Y
P00354,통크,436,436,0,575.52,570,Y
P00355,투니스,0,0,0,0,0,Y
P00356,투인러브 모카(커피),587,587,0,774.84,770,Y
P00357,트윅스싱글,524,524,0,691.68,690,Y
P00358,판타롱스타킹,512,512,0,675.84,670,Y
P00359,팔리아멘트원,1844,1844,0,2434.08,2430,Y
P00360,팬시라이너,1721,1721,0,2271.72,2270,Y
P00361,페레로로셰,5778,5778,9000,9000,9000,Y
P00362,펩시콜라 500㎖펫,450,450,0,594,590,Y
P00363,편지봉투(100매),0,1091,1500,1500,1500,Y
P00364,포도.배코코 240㎖캔,0,727,1000,1000,1000,Y
P00365,포천쌀막걸리 1.2L,901,901,0,1189.32,1180,Y
P00366,포카칩,0,1455,2000,2000,2000,Y
P00367,프렌치카페카라멜마끼야또,901,901,0,1189.32,1180,Y
P00368,프론티어,1844,1844,0,2434.08,2430,Y
P00369,프리모,0,1091,1500,1500,1500,Y
P00370,프리미엄 토마토,450,450,0,594,590,Y
P00371,프리클스오리지널,1803,1803,0,2379.96,2370,Y
P00372,프링글스오리지널소,0,1091,1500,1500,1500,Y
P00373,하기스매직팬티특대(여),1704,1704,0,2249.28,2240,Y
P00374,하늘보리,0,1091,1500,1500,1500,Y
P00375,하이콜라겐,0,1091,1500,1500,1500,Y
P00376,하이트맥주캔,0,1455,2000,2000,2000,Y
P00377,핫쵸코,0,1091,1500,1500,1500,Y
P00378,해바라기쵸코볼,591,591,700,700,700,Y
P00379,허밍타임멘솔,1696,1696,0,2238.72,2230,Y
P00380,허쉬너겟아몬드,0,364,500,500,500,Y
P00381,헤이즐넛원두,0,727,1000,1000,1000,Y
P00382,헤이즐넛커피믹스,286,286,1000,1000,1000,Y
P00383,홈런볼초코(소),0,727,1000,1000,1000,Y
P00384,홍삼꿀,491,491,0,648.12,640,Y
P00385,화이브미니병,311,311,0,410.52,410,Y
P00386,화이트엔젤큐티,0,1091,1500,1500,1500,Y
P00387,환타오렌지,622,622,1500,1500,1500,Y
P00388,환타오렌지캔,368,368,0,485.76,480,Y
P00389,후레쉬믹스,573,573,0,756.36,750,Y
P00390,후지CN120,1475,1475,2500,2500,2500,Y
P00391,휴대폰 119,0,2182,3000,3000,3000,Y
P00392,히야 오렌지 300㎖캐릭터펫,409,409,0,539.88,530,Y
P00393,히야오렌지,0,727,1000,1000,1000,Y
